weekday,n_tweets,mean_compound,sd_compound,mean_afinn,sd_afinn
Mon,14193,0.08090851746309241,0.17043108353292497,-0.8376458271014059,2.77477727180621
Tue,14158,0.08094105288847384,0.1705373446527812,-0.8114397237652005,2.792021843751433
Wed,14092,0.07785511313272854,0.17132471398348656,-0.8584784739500867,2.7889813260847784
Thu,14210,0.07826367610796414,0.1712472902265254,-0.8261032441747209,2.7780338953156005
Fri,14568,0.0793081865291521,0.1725882338401103,-0.8364779874213837,2.7762083943871394
Sat,14036,0.08160436480988315,0.170401455738205,-0.8166666666666667,2.780737757062327
Sun,14133,0.07969941296798103,0.1714863441424894,-0.830046665663104,2.7880092380692445
